#{"t_start": 1605487278.9837074, "env_id": "PnPBaxter-v0"}
r,l,t
14.391152,23,3603.265518
50.311386,83,3610.58728
22.483235,36,3618.640952
14.648853,24,3625.454885
28.499005,46,3632.568136
9.32753,15,3639.476851
60.674779,99,3647.314997
17.331044,28,3655.562621
8.437569,14,3662.066371
7.264109,12,3668.318779
6.618271,11,3674.381414
10.291924,17,3680.354481
53.093927,88,3688.22304
7.774159,13,3695.527169
65.613335,113,3704.169947
58.717775,94,3713.954767
8.419865,14,3721.577595
46.831059,76,3729.301891
12.840767,21,3736.787393
71.520191,118,3745.322678
32.251229,53,3753.910535
15.505124,25,3761.187145
30.115708,49,3767.995094
8.074653,13,3775.230197
25.503061,41,3781.272623
41.47037,66,3789.485355
8.449466,14,3796.986903
6.078097,10,3802.857928
7.273696,12,3808.75665
41.36377,70,3816.351085
14.140908,23,3823.764121
75.589982,121,3832.08887
34.62246,58,3840.857728
6.624237,11,3847.729163
8.649995,14,3853.963888
69.214972,116,3862.320701
11.590136,19,3870.073016
27.701097,45,3877.148771
56.333345,96,3886.141529
70.621454,113,3895.697993
10.875629,18,3903.559501
38.310987,63,3910.875997
9.040506,15,3917.985679
13.503218,22,3924.475924
11.077222,18,3931.164414
36.94437,60,3937.929891
6.009543,10,3945.153974
9.861435,16,3951.238638
7.298979,12,3957.276158
7.820643,13,3963.152203
8.454038,14,3969.045229
33.985456,55,3976.040578
27.767659,46,3984.163199
40.707299,70,3992.383241
9.829916,16,3999.81062
30.589389,50,4006.518287
7.273156,12,4013.379158
7.374897,12,4019.618618
47.875676,80,4027.147313
41.456949,68,4035.394376
63.039538,100,4044.687057
0.583811,1,4062.641358
65.685082,103,4070.340166
37.491348,62,4079.142227
36.900835,59,4087.503367
33.064805,53,4095.8472
0.553733,1,4113.559163
0.568412,1,4131.021751
0.575102,1,4148.295026
27.487723,44,4154.93174
27.116762,44,4161.713339
7.449424,12,4168.851625
62.737044,99,4176.64782
64.928581,105,4186.141599
17.160517,28,4194.031851
13.207145,22,4200.993197
55.641294,93,4209.638796
52.783206,85,4218.948486
35.807059,57,4227.760169
42.583306,69,4236.443769
61.478216,102,4245.624015
72.285876,119,4255.556132
0.588426,1,4273.564663
16.600523,27,4279.733718
33.310121,55,4287.378366
30.899899,50,4295.491946
41.887113,71,4304.079259
13.001263,21,4311.375969
36.10064,61,4319.03273
31.332312,51,4327.007157
38.446757,63,4335.050769
39.189236,63,4343.259362
53.971817,92,4351.950332
41.091409,69,4360.675312
70.353725,115,4370.107147
54.124444,90,4379.691708
19.992458,32,4387.528864
38.175871,62,4395.30663
31.644195,51,4403.317899
42.702548,69,4411.305789
9.298498,15,4418.487962
84.395078,139,4427.590666
0.577145,1,4445.782757
25.81357,42,4452.324164
23.925843,39,4459.798549
34.381582,55,4467.474766
40.390715,65,4475.461725
25.267596,42,4483.263178
19.826912,32,4490.388937
42.03134,68,4498.028046
37.413984,59,4506.134215
33.813987,55,4514.166536
89.066644,145,4523.989341
14.245898,23,4532.345181
70.170042,117,4541.147921
58.559332,93,4550.649663
46.674239,74,4559.578837
59.276926,95,4568.990971
27.787225,44,4577.629699
25.213182,40,4585.370221
25.840994,41,4592.646933
60.639575,99,4601.195767
29.016734,46,4609.657877
56.988793,90,4618.088747
0.507782,1,4635.760844
0.508142,1,4652.990099
0.506347,1,4670.290362
32.696753,52,4678.074996
54.375303,87,4686.678597
17.586357,28,4694.686775
48.470258,81,4702.575531
108.654329,174,4713.390947
63.317757,102,4723.724592
55.527748,88,4733.2531
55.412598,90,4742.687063
52.436794,83,4751.840322
81.166718,129,4762.291188
41.16897,67,4771.242441
37.419997,60,4779.42509
48.198683,79,4788.076074
73.951798,125,4798.094409
28.681867,46,4806.497849
52.432654,94,4815.210462
0.598601,1,4833.077756
28.208402,45,4839.539893
56.787969,91,4848.128338
81.753014,131,4858.303094
0.592305,1,4876.40772
47.634789,79,4883.658608
33.933874,54,4892.036734
35.076985,56,4900.40616
64.231132,101,4909.457195
0.595015,1,4927.255542
47.398949,75,4934.370824
44.925976,72,4943.046498
49.021532,78,4951.834715
0.580582,1,4969.668169
49.132146,80,4977.009285
33.415586,54,4985.239639
54.519017,90,4994.209061
29.157401,49,5002.615197
30.764207,49,5010.252289
41.812858,66,5018.044933
54.791743,88,5026.767541
50.702634,82,5035.883206
69.559769,114,5045.402655
54.849399,89,5054.53795
18.024695,29,5062.553151
86.996986,144,5071.59752
35.463971,58,5080.468542
